coords,sentiment
11.4899105/122.6771784,2
11.0695902/124.6700376,2
11.4899105/122.6771784,0
10.5470262/124.7434968,1
15.2383695/120.2311152,1
14.5018211/120.9786272,-1
10.3107867/123.9114563,0
10.3107867/123.9114563,0
10.2594754/123.7647381,-1
14.5674476/121.0167613,1
10.6789404/122.4979499,0
10.6789404/122.4979499,1
11.1474093/123.7565237,-1
13.2972454/121.8093115,0
11.184893193639939/124.99034691301765,-2
10.8629791/124.4028827,1
10.2594754/123.7647381,-1
10.5470262/124.7434968,0
11.7375585/124.6748915,1
10.2594754/123.7647381,0
15.4294156/120.8751937,1
11.1474093/123.7565237,0
15.4294156/120.8751937,-1
14.5893763/120.989705,1
10.3360323/124.7224949,-1
10.2594754/123.7647381,1
10.0316062/124.8968816,0
10.6789404/122.4979499,-1
11.1579655/124.6497584,-1
14.602916070089636/121.04537850958587,0
14.5893763/120.989705,2
14.5893763/120.989705,-1
10.5470262/124.7434968,0
11.1808072/124.8960325,0
14.5134816/120.9988804,0
15.1120056/120.4977942,2
10.3360323/124.7224949,-2
10.3360323/124.7224949,1
10.3360323/124.7224949,0
10.3360323/124.7224949,-1
10.3360323/124.7224949,2
10.2594754/123.7647381,0
14.542797/121.0518106,0
10.30787873/123.89399171,1
8.7765333/125.4480073,-1
11.7375585/124.6748915,-2
10.5470262/124.7434968,0
9.0404895/122.6140433,0
11.2028176/125.4296279,0
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,2
10.84919/122.650482,0
15.35778/120.739723,1
11.33877/124.552177,1
11.38738/123.036667,2
11.24989/122.579987,-2
10.84919/122.650482,1
11.24989/122.579987,2
11.33877/124.552177,-2
10.62794/124.444077,-1
10.62223/125.149437,-1
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,-2
10.37741/123.013786,1
9.84158/126.124962,2
11.33877/124.552177,1
14.71313/120.898407,-2
11.24989/122.579987,-1
11.24989/122.579987,-1
11.41976/123.131416,1
11.33877/124.552177,2
10.84919/122.650482,1
11.33877/124.552177,0
11.33877/124.552177,-2
11.33877/124.552177,0
11.33877/124.552177,0
11.24989/122.579987,-2
11.33877/124.552177,-1
11.33877/124.552177,0
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,2
14.635671/120.989517,1
14.635671/120.989517,1
9.84158/126.124962,-2
11.33877/124.552177,1
9.84158/126.124962,-2
11.33877/124.552177,-2
11.24989/122.579987,-2
11.33877/124.552177,-2
11.33877/124.552177,-1
11.24989/122.579987,-1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,-1
11.24989/122.579987,-2
10.09141/119.241386,0
10.84919/122.650482,-2
10.62223/125.149437,-1
11.33877/124.552177,-2
10.62223/125.149437,1
11.33877/124.552177,0
11.33877/124.552177,-1
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,0
11.33877/124.552177,0
10.62223/125.149437,1
9.84158/126.124962,1
14.69707/121.576851,1
10.37741/123.013786,0
10.37741/123.013786,0
11.24989/122.579987,-1
11.24989/122.579987,-1
11.24989/122.579987,-2
10.62794/124.444077,1
10.62223/125.149437,-1
10.62223/125.149437,-1
9.84158/126.124962,-1
11.24989/122.579987,-2
11.33877/124.552177,1
10.62223/125.149437,-1
10.62223/125.149437,-1
11.24989/122.579987,-1
11.24989/122.579987,-2
11.33877/124.552177,1
10.62223/125.149437,1
10.37741/123.013786,0
10.37741/123.013786,0
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,-1
10.37741/123.013786,-1
10.37741/123.013786,-2
11.33877/124.552177,1
10.37741/123.013786,-1
11.33877/124.552177,0
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,0
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,-1
10.62223/125.149437,-1
11.33877/124.552177,-1
10.62223/125.149437,2
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,-1
10.62223/125.149437,-1
11.33877/124.552177,0
11.33877/124.552177,-1
11.33877/124.552177,-1
11.24989/122.579987,1
11.24989/122.579987,1
11.24989/122.579987,1
10.09141/119.241386,-1
9.84158/126.124962,1
14.635671/120.989517,-1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,-1
10.62223/125.149437,2
11.33877/124.552177,1
11.33877/124.552177,2
10.37741/123.013786,0
11.33877/124.552177,-1
11.33877/124.552177,2
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,1
13.87362/122.396873,2
11.33877/124.552177,-2
10.62223/125.149437,1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.477714/122.890266,2
10.84919/122.650482,2
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,-1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,2
10.84919/122.650482,1
11.33877/124.552177,2
11.48399/122.784111,0
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
11.48399/122.784111,0
11.33877/124.552177,1
10.62223/125.149437,1
10.62223/125.149437,1
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,1
10.62223/125.149437,0
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,-2
9.84158/126.124962,2
10.77604/122.644096,2
14.635671/120.989517,-1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
11.13913/123.10968,-1
14.69707/121.576851,-2
11.33877/124.552177,0
10.84919/122.650482,2
10.84919/122.650482,1
11.33877/124.552177,-1
10.84919/122.650482,2
11.33877/124.552177,2
11.24989/122.579987,1
11.33877/124.552177,2
14.69707/121.576851,-2
11.33877/124.552177,1
11.24989/122.579987,2
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,1
10.62223/125.149437,2
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,1
10.62223/125.149437,-2
10.79067/123.944832,-2
11.33877/124.552177,1
11.33877/124.552177,2
10.62223/125.149437,1
14.635671/120.989517,-1
11.477714/122.890266,2
11.48514/122.728973,1
11.33877/124.552177,1
10.62223/125.149437,-2
10.62223/125.149437,-2
11.33877/124.552177,1
9.84158/126.124962,2
11.33877/124.552177,1
10.77604/122.644096,2
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,0
10.62223/125.149437,-1
11.33877/124.552177,2
11.33877/124.552177,-2
10.62223/125.149437,2
11.33877/124.552177,2
11.33877/124.552177,-2
10.84919/122.650482,-2
11.33877/124.552177,1
11.33877/124.552177,2
10.84919/122.650482,2
10.62223/125.149437,2
11.33877/124.552177,1
11.33877/124.552177,-2
10.84919/122.650482,2
11.33877/124.552177,1
11.477714/122.890266,2
11.33877/124.552177,1
15.83228/120.573029,0
15.83228/120.573029,0
11.33877/124.552177,-2
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,0
11.477714/122.890266,-1
11.33877/124.552177,1
11.33877/124.552177,1
10.84919/122.650482,2
11.24989/122.579987,-2
10.62223/125.149437,-1
11.33877/124.552177,2
11.33877/124.552177,2
10.62223/125.149437,1
10.62223/125.149437,-1
11.33877/124.552177,-1
11.13913/123.10968,2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,2
10.62223/125.149437,-2
10.84919/122.650482,-2
11.33877/124.552177,-1
10.84919/122.650482,2
10.62223/125.149437,0
11.33877/124.552177,2
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,0
10.62223/125.149437,0
11.24989/122.579987,2
10.09141/119.241386,-1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,0
9.84158/126.124962,1
10.09141/119.241386,-2
10.09141/119.241386,0
9.84158/126.124962,-2
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
10.84919/122.650482,1
11.33877/124.552177,0
11.33877/124.552177,2
11.24989/122.579987,-1
9.84158/126.124962,-2
11.33877/124.552177,1
11.33877/124.552177,1
10.09141/119.241386,0
11.33877/124.552177,1
9.84158/126.124962,2
9.84158/126.124962,2
9.84158/126.124962,1
11.48399/122.784111,2
11.33877/124.552177,-1
10.09141/119.241386,-2
10.62223/125.149437,2
11.33877/124.552177,1
11.24989/122.579987,-1
11.38738/123.036667,-1
10.62223/125.149437,2
11.33877/124.552177,-1
11.33877/124.552177,2
11.33877/124.552177,2
14.69707/121.576851,1
11.33877/124.552177,2
11.33877/124.552177,1
10.84919/122.650482,2
11.33877/124.552177,-1
11.33877/124.552177,2
10.62223/125.149437,2
11.33877/124.552177,1
14.635671/120.989517,-1
11.33877/124.552177,2
11.33877/124.552177,-2
11.33877/124.552177,2
10.62223/125.149437,1
10.84919/122.650482,1
11.24989/122.579987,0
11.33877/124.552177,-1
11.48399/122.784111,-2
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,-2
11.33877/124.552177,2
11.24989/122.579987,1
11.41976/123.131416,1
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,-2
9.84158/126.124962,0
10.62223/125.149437,-2
11.33877/124.552177,2
11.33877/124.552177,1
10.37741/123.013786,2
11.33877/124.552177,1
11.33877/124.552177,0
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,-2
11.1485/122.587822,1
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,2
11.24989/122.579987,2
11.33877/124.552177,1
11.33877/124.552177,0
11.33877/124.552177,2
10.0325/126.071388,2
11.33877/124.552177,0
11.33877/124.552177,2
11.33877/124.552177,-2
10.62223/125.149437,-2
11.33877/124.552177,0
11.41976/123.131416,2
10.84919/122.650482,2
11.33877/124.552177,2
10.84919/122.650482,2
10.84919/122.650482,-2
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,1
11.24989/122.579987,1
11.33877/124.552177,1
10.62223/125.149437,1
11.33877/124.552177,2
10.09141/119.241386,0
11.33877/124.552177,0
10.62223/125.149437,2
10.62223/125.149437,1
11.33877/124.552177,-2
11.33877/124.552177,-1
10.35489/124.894531,-1
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,0
11.33877/124.552177,2
11.33877/124.552177,0
11.33877/124.552177,-1
11.24989/122.579987,-2
11.24989/122.579987,0
11.33877/124.552177,-1
9.84158/126.124962,-1
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,2
14.635671/120.989517,0
11.49771/123.120338,1
11.1485/122.587822,1
10.37741/123.013786,2
10.62223/125.149437,-1
10.84919/122.650482,1
10.62223/125.149437,-1
11.07625/122.735077,0
11.48399/122.784111,2
10.09141/119.241386,-2
11.33877/124.552177,2
10.84919/122.650482,2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,2
10.84919/122.650482,1
11.33877/124.552177,2
11.33877/124.552177,2
11.13314/122.242104,1
11.33877/124.552177,1
11.13314/122.242104,1
10.84919/122.650482,-2
14.635671/120.989517,2
11.33877/124.552177,-1
11.33877/124.552177,1
11.24989/122.579987,-1
11.33877/124.552177,2
10.62794/124.444077,1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,2
13.55446/124.149101,-1
11.33877/124.552177,0
11.13314/122.242104,1
11.47454/124.518044,-1
10.84919/122.650482,1
11.08335/124.747963,2
11.48514/122.728973,-1
11.477714/122.890266,-2
10.84919/122.650482,-2
10.84919/122.650482,-2
10.84919/122.650482,1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
10.84919/122.650482,2
11.3446/122.752563,1
11.33877/124.552177,2
11.38738/123.036667,0
11.3446/122.752563,-1
11.33877/124.552177,1
10.62223/125.149437,-1
11.48514/122.728973,2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
11.69361/124.831947,-2
8.51249/124.411812,-1
10.62794/124.444077,-2
11.33877/124.552177,2
10.84919/122.650482,-2
11.24989/122.579987,1
6.04395/121.001663,-1
11.33877/124.552177,1
11.33877/124.552177,-1
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,2
14.69707/121.576851,-2
14.69707/121.576851,-2
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,2
11.48514/122.728973,1
10.62223/125.149437,-2
11.24989/122.579987,2
10.62223/125.149437,2
10.62223/125.149437,1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.3446/122.752563,0
11.24989/122.579987,1
11.24989/122.579987,0
11.3446/122.752563,-2
10.79067/123.944832,-2
11.13314/122.242104,-1
11.24989/122.579987,-2
11.33877/124.552177,-1
11.33877/124.552177,0
10.0325/126.071388,-2
11.33877/124.552177,-1
11.33877/124.552177,-1
12.62532/122.284721,-2
11.3446/122.752563,1
11.33877/124.552177,2
11.33877/124.552177,0
11.07625/122.735077,0
11.33877/124.552177,2
10.62223/125.149437,1
11.33877/124.552177,-2
10.9444/122.484444,0
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
11.24989/122.579987,0
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,-2
9.84158/126.124962,-1
11.33877/124.552177,0
14.061156/122.067551,-1
11.07625/122.735077,1
11.48399/122.784111,0
11.33877/124.552177,1
11.24989/122.579987,1
10.62223/125.149437,-2
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,2
10.09141/119.241386,1
11.33877/124.552177,-2
10.62794/124.444077,2
15.42119/120.172684,2
11.33877/124.552177,1
11.33877/124.552177,2
11.24989/122.579987,1
11.24989/122.579987,1
11.33877/124.552177,1
11.3446/122.752563,2
11.33877/124.552177,1
11.24989/122.579987,0
11.33877/124.552177,0
11.33877/124.552177,2
11.26843/122.888893,2
11.24989/122.579987,0
11.33877/124.552177,1
11.33877/124.552177,1
17.560419/120.489349,2
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,1
11.24989/122.579987,1
10.09141/119.241386,0
11.33877/124.552177,1
11.24989/122.579987,1
11.33877/124.552177,2
10.62223/125.149437,2
11.33877/124.552177,-2
11.33877/124.552177,1
10.62223/125.149437,-1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,0
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,-2
11.477714/122.890266,0
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,0
11.33877/124.552177,-2
11.13913/123.10968,0
11.33877/124.552177,0
11.24989/122.579987,0
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,2
9.84158/126.124962,2
9.84158/126.124962,-1
11.69361/124.831947,-2
11.33877/124.552177,0
11.33877/124.552177,2
11.33877/124.552177,-2
11.33877/124.552177,-1
14.635671/120.989517,1
9.84158/126.124962,0
11.33877/124.552177,0
11.33877/124.552177,-1
11.33877/124.552177,0
14.54581/121.2052,2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
10.62223/125.149437,2
10.77604/125.957024,0
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,-1
11.33877/124.552177,2
11.33877/124.552177,1
11.69361/124.831947,2
18.004311/120.772751,1
10.62223/125.149437,0
11.33877/124.552177,-1
10.62223/125.149437,-2
11.33877/124.552177,1
10.62794/124.444077,1
11.24989/122.579987,-2
11.24989/122.579987,-2
11.33877/124.552177,-1
11.69361/124.831947,0
11.33877/124.552177,2
11.33877/124.552177,-2
11.33877/124.552177,-1
14.69707/121.576851,1
11.33877/124.552177,1
11.24989/122.579987,1
11.33877/124.552177,-2
10.62223/125.149437,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,2
11.38738/123.036667,2
11.33877/124.552177,-1
11.33877/124.552177,1
11.24989/122.579987,1
11.24989/122.579987,0
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,1
11.33877/124.552177,1
11.24989/122.579987,2
11.33877/124.552177,-1
11.33877/124.552177,1
11.33877/124.552177,-1
11.33877/124.552177,1
11.33877/124.552177,2
10.62223/125.149437,-1
11.33877/124.552177,-1
9.84158/126.124962,2
11.33877/124.552177,2
11.24989/122.579987,2
11.33877/124.552177,0
11.33877/124.552177,2
11.33877/124.552177,0
11.33877/124.552177,-1
11.33877/124.552177,0
11.33877/124.552177,2
11.33877/124.552177,0
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,0
11.33877/124.552177,2
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,-2
11.477714/122.890266,-1
11.24989/122.579987,1
11.24989/122.579987,2
11.33877/124.552177,0
11.33877/124.552177,-1
11.24989/122.579987,2
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,0
11.24989/122.579987,2
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,0
11.477714/122.890266,2
11.33877/124.552177,0
11.33877/124.552177,-1
11.33877/124.552177,2
10.84919/122.650482,0
11.33877/124.552177,2
11.33877/124.552177,-2
11.33877/124.552177,2
14.635671/120.989517,2
11.33877/124.552177,2
14.24634/120.899887,2
11.33877/124.552177,1
11.24989/122.579987,2
11.33877/124.552177,2
11.33877/124.552177,1
10.84919/122.650482,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
10.84919/122.650482,1
11.33877/124.552177,0
14.69707/121.576851,0
11.33877/124.552177,-2
10.84919/122.650482,2
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,1
10.62223/125.149437,2
11.13913/123.10968,1
10.62223/125.149437,-1
9.84158/126.124962,-2
11.24989/122.579987,1
11.33877/124.552177,1
11.33877/124.552177,1
11.33877/124.552177,1
11.24989/122.579987,2
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,2
11.33877/124.552177,0
11.33877/124.552177,2
11.24989/122.579987,2
11.33877/124.552177,2
10.62223/125.149437,1
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,1
11.477714/122.890266,2
11.33877/124.552177,2
11.33877/124.552177,1
9.84158/126.124962,1
11.33877/124.552177,-1
11.33877/124.552177,2
14.69707/121.576851,2
11.24989/122.579987,-1
11.24989/122.579987,1
11.09532/122.578743,2
11.26843/122.888893,1
11.24989/122.579987,0
10.84919/122.650482,2
11.24989/122.579987,1
11.24989/122.579987,1
11.24989/122.579987,2
11.33877/124.552177,2
11.24989/122.579987,1
10.62223/125.149437,2
11.33877/124.552177,-2
11.33877/124.552177,1
11.24989/122.579987,2
11.33877/124.552177,-2
11.33877/124.552177,2
10.77604/125.957024,-2
11.33877/124.552177,2
10.62223/125.149437,2
11.33877/124.552177,-2
11.33877/124.552177,-1
14.635671/120.989517,-1
11.07625/122.735077,1
10.35489/124.894531,1
11.33877/124.552177,2
11.24989/122.579987,1
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,2
10.62223/125.149437,1
11.24989/122.579987,1
11.33877/124.552177,2
11.33877/124.552177,2
11.24989/122.579987,1
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,2
11.48399/122.784111,-2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
11.24989/122.579987,1
11.24989/122.579987,2
11.33877/124.552177,1
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,1
11.477714/122.890266,1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,2
10.62223/125.149437,0
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,-1
11.33877/124.552177,-1
10.62223/125.149437,-2
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,-1
13.87362/122.396873,-2
15.42119/120.172684,-2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,1
11.24989/122.579987,2
11.26843/122.888893,2
11.33877/124.552177,1
10.62223/125.149437,-2
11.33877/124.552177,1
11.33877/124.552177,2
11.24989/122.579987,2
11.33877/124.552177,1
11.09735/124.945137,0
11.477714/122.890266,-1
11.24989/122.579987,2
11.33877/124.552177,2
11.33877/124.552177,2
11.26843/122.888893,1
10.31048/124.897324,1
10.84919/122.650482,2
11.33877/124.552177,-2
10.84919/122.650482,1
11.33877/124.552177,1
11.33877/124.552177,1
11.36809/125.608093,-2
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,1
11.33877/124.552177,2
10.62223/125.149437,1
11.33877/124.552177,1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,2
10.62223/125.149437,1
11.47454/124.518044,2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,0
11.1829/125.568336,-1
10.84919/122.650482,2
12.52548/124.447601,0
11.33877/124.552177,1
10.62223/125.149437,2
11.33877/124.552177,0
11.33877/124.552177,0
11.33877/124.552177,1
10.84919/122.650482,2
11.48409/125.513611,2
11.1829/125.568336,-1
11.33877/124.552177,-2
11.33877/124.552177,-1
11.69361/124.831947,0
11.33877/124.552177,1
11.33877/124.552177,0
11.33877/124.552177,-1
10.62223/125.149437,0
11.33877/124.552177,-1
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,-2
11.48399/122.784111,0
18.51512/120.969437,2
10.62223/125.149437,1
11.24989/122.579987,-1
11.33877/124.552177,-2
11.33877/124.552177,1
10.62223/125.149437,2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,-2
10.62223/125.149437,2
14.69707/121.576851,2
11.33877/124.552177,2
11.33877/124.552177,-2
11.1829/125.568336,-1
11.33877/124.552177,2
11.1829/125.568336,-1
10.84919/122.650482,1
11.24989/122.579987,-1
11.33877/124.552177,-1
11.1829/125.568336,0
14.69707/121.576851,2
11.33877/124.552177,1
11.33877/124.552177,-2
11.33877/124.552177,-2
10.84919/122.650482,2
11.33877/124.552177,0
11.33877/124.552177,2
11.33877/124.552177,1
10.84919/122.650482,2
11.33877/124.552177,-1
11.33877/124.552177,1
11.24989/122.579987,1
11.24989/122.579987,2
10.84919/122.650482,2
11.33877/124.552177,2
10.62223/125.149437,2
11.33877/124.552177,0
10.62223/125.149437,1
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,0
6.00611/120.90107,2
10.62223/125.149437,-2
10.62223/125.149437,-2
11.33877/124.552177,2
11.33877/124.552177,2
9.84158/126.124962,1
9.84158/126.124962,-1
10.62223/125.149437,1
11.33877/124.552177,1
11.33877/124.552177,0
11.33877/124.552177,2
11.33877/124.552177,2
10.62223/125.149437,2
10.62223/125.149437,1
10.84919/122.650482,2
11.33877/124.552177,2
11.33877/124.552177,1
11.24989/122.579987,0
11.08335/124.747963,2
10.62223/125.149437,2
10.84919/122.650482,2
11.33877/124.552177,1
11.69361/124.831947,-2
11.36809/125.608093,-2
11.36809/125.608093,-2
11.24989/122.579987,1
10.84919/122.650482,-1
11.33877/124.552177,0
11.33877/124.552177,2
11.33877/124.552177,-2
10.84919/122.650482,2
11.33877/124.552177,2
11.33877/124.552177,1
11.33877/124.552177,-1
11.13913/123.10968,-2
11.13913/123.10968,-2
11.33877/124.552177,2
11.33877/124.552177,2
11.33877/124.552177,-1
11.33877/124.552177,-2
11.69361/124.831947,0
10.84919/122.650482,2
10.62794/124.444077,2
11.24989/122.579987,1
10.09141/119.241386,1
11.24989/122.579987,2
9.84158/126.124962,2
10.09141/119.241386,2
9.84158/126.124962,2
10.84919/122.650482,-2
11.36809/125.608093,1
9.84158/126.124962,2
9.84158/126.124962,0
11.33877/124.552177,1
14.635671/120.989517,-1
11.36809/125.608093,1
11.33877/124.552177,-1
9.84158/126.124962,2
17.560419/120.489349,-1
9.84158/126.124962,2
11.36809/125.608093,-2
9.96/125.61573,2
11.47454/124.518044,2
11.36809/125.608093,-2
11.12167/125.335831,-1
11.33877/124.552177,1
9.84158/126.124962,-2
11.33877/124.552177,1
11.33877/124.552177,1
11.36809/125.608093,0
11.33877/124.552177,-2
11.36809/125.608093,-2
11.24989/122.579987,2
14.19095/122.935539,0
9.84158/126.124962,2
11.33877/124.552177,2
9.84158/126.124962,2
11.33877/124.552177,2
11.48365/122.531723,0
11.33877/124.552177,1
9.84158/126.124962,0
11.24989/122.579987,0
10.84919/122.650482,1
10.62794/124.444077,1
11.24989/122.579987,1
10.62794/124.444077,1
9.84158/126.124962,2
11.26843/122.888893,2
11.08335/124.747963,2
14.71313/120.898407,1
11.33877/124.552177,2
11.1406/122.238876,1
10.09141/119.241386,0
11.33877/124.552177,1
10.62794/124.444077,-1
9.84158/126.124962,2
10.81631/122.199966,0
10.84919/122.650482,1
10.09141/119.241386,0
11.24989/122.579987,2
13.43093/123.703033,-2
11.33877/124.552177,-2
10.84919/122.650482,1
7.44716/126.557716,-1
11.33877/124.552177,2
13.7642/122.512817,1
11.33877/124.552177,0
11.33877/124.552177,1
14.69707/121.576851,-1
11.33877/124.552177,0
11.33877/124.552177,1
11.13913/123.10968,2
11.24989/122.579987,1
11.33877/124.552177,2
11.36809/125.608093,-2
11.47454/124.518044,0
11.33877/124.552177,2
11.13913/123.10968,1
11.33877/124.552177,-1
11.33877/124.552177,-2
11.33877/124.552177,1
11.33877/124.552177,1
10.84919/122.650482,2
11.33877/124.552177,2
11.33877/124.552177,0
13.87362/122.396873,2
11.33877/124.552177,1
11.33877/124.552177,0
11.33877/124.552177,-1
11.33877/124.552177,2
11.26843/122.888893,1
11.36809/125.608093,-2
11.11/125.439079,-2
11.11755/125.253067,-2
10.84919/122.650482,0
10.35489/124.894531,2
11.24989/122.579987,2
11.24989/122.579987,-2
11.38738/123.036667,-1
11.26843/122.888893,2
11.33877/124.552177,2
11.33877/124.552177,2
10.84919/122.650482,1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.36809/125.608093,0
11.33877/124.552177,2
11.33877/124.552177,0
11.33877/124.552177,1
12.62532/122.284721,0
11.36809/125.608093,-2
11.33877/124.552177,1
